Timestamp(ms),Current(uA)
0,3.558
1,3.551
2,3.564
3,3.590
4,3.563
5,3.554
6,3.564
7,3.569
8,3.560
9,3.550
10,3.566
11,3.556
12,3.536
13,3.552
14,3.552
15,3.551
16,3.559
17,3.537
18,3.561
19,3.524
20,3.571
21,3.555
22,3.550
23,3.555
24,3.543
25,3.569
26,3.543
27,3.540
28,3.538
29,3.536
30,3.519
31,3.536
32,3.537
33,3.519
34,3.546
35,3.539
36,3.548
37,3.567
38,3.559
39,3.552
40,3.525
41,3.544
42,3.546
43,3.554
44,3.534
45,3.545
46,3.552
47,3.523
48,3.530
49,3.549
50,3.542
51,3.568
52,3.528
53,3.559
54,3.563
55,3.545
56,3.584
57,3.539
58,3.545
59,3.564
60,3.531
61,3.528
62,3.517
63,3.541
64,3.534
65,3.519
66,3.541
67,3.547
68,3.551
69,3.524
70,3.532
71,3.531
72,3.549
73,3.559
74,3.512
75,3.521
76,3.517
77,3.536
78,3.530
79,3.545
80,3.534
81,3.547
82,3.543
83,3.529
84,3.540
85,3.540
86,3.539
87,3.531
88,3.540
89,3.540
90,3.533
91,3.551
92,3.555
93,3.547
94,3.526
95,3.538
96,3.550
97,3.538
98,3.519
99,3.522
100,3.538
101,3.521
102,3.529
103,3.536
104,3.557
105,3.530
106,3.532
107,3.545
108,3.553
109,3.528
110,3.555
111,3.524
112,3.541
113,3.519
114,3.527
115,3.534
116,3.527
117,3.541
118,3.540
119,3.536
120,3.554
121,3.538
122,3.528
123,3.532
124,3.527
125,3.532
126,3.522
127,3.520
128,3.524
129,3.534
130,3.518
131,3.546
132,3.553
133,3.516
134,3.527
135,3.499
136,3.517
137,3.493
138,3.508
139,3.545
140,3.519
141,3.505
142,3.506
143,3.534
144,3.523
145,3.537
146,3.540
147,3.525
148,3.545
149,3.520
150,3.531
151,3.510
152,3.529
153,3.536
154,3.524
155,3.523
156,3.523
157,3.515
158,3.520
159,3.520
160,3.532
161,3.528
162,3.524
163,3.522
164,3.534
165,3.505
166,3.522
167,3.510
168,3.556
169,3.534
170,3.535
171,3.537
172,3.547
173,3.543
174,3.543
175,3.510
176,3.506
177,3.523
178,3.523
179,3.510
180,3.543
181,3.522
182,3.560
183,3.542
184,3.525
185,3.566
186,3.539
187,3.535
188,3.520
189,3.536
190,3.535
191,3.514
192,3.539
193,3.523
194,3.522
195,3.521
196,3.503
197,3.516
198,3.513
199,3.555
200,3.523
201,3.531
202,3.523
203,3.555
204,3.533
205,3.528
206,3.532
207,3.545
208,3.509
209,3.543
210,3.538
211,3.534
212,3.533
213,3.559
214,3.520
215,3.536
216,3.540
217,3.525
218,3.545
219,3.529
220,3.526
221,3.547
222,3.545
223,3.521
224,3.537
225,3.538
226,3.550
227,3.532
228,3.532
229,3.545
230,3.543
231,3.530
232,3.533
233,3.529
234,3.527
235,3.523
236,3.541
237,3.542
238,3.549
239,3.539
240,3.508
241,3.550
242,3.538
243,3.544
244,3.513
245,3.511
246,3.514
247,3.528
248,3.512
249,3.527
250,3.519
251,3.511
252,3.540
253,3.557
254,3.521
255,3.533
256,3.529
257,3.530
258,3.520
259,3.510
260,3.527
261,3.529
262,3.539
263,3.515
264,3.516
265,3.527
266,3.537
267,3.527
268,3.538
269,3.533
270,3.510
271,3.523
272,3.533
273,3.515
274,3.545
275,3.526
276,3.555
277,3.523
278,3.554
279,3.546
280,3.515
281,3.534
282,3.531
283,3.536
284,3.536
285,3.557
286,3.533
287,3.538
288,3.535
289,3.543
290,3.536
291,3.528
292,3.537
293,3.513
294,3.505
295,3.507
296,3.545
297,3.523
298,3.514
299,3.534
300,3.521
301,3.525
302,3.513
303,3.528
304,3.530
305,3.531
306,3.538
307,3.518
308,3.544
309,3.543
310,3.520
311,3.540
312,3.541
313,3.535
314,3.508
315,3.515
316,3.522
317,3.520
318,3.526
319,3.532
320,3.516
321,3.536
322,3.545
323,3.542
324,3.527
325,3.516
326,3.541
327,3.521
328,3.537
329,3.532
330,3.526
331,3.527
332,3.517
333,3.532
334,3.524
335,3.512
336,3.516
337,3.506
338,3.523
339,3.514
340,3.517
341,3.539
342,3.534
343,3.502
344,3.520
345,3.534
346,3.526
347,3.531
348,3.524
349,3.534
350,3.517
351,3.528
352,3.518
353,3.543
354,3.526
355,3.530
356,3.538
357,3.524
358,3.508
359,3.522
360,3.527
361,3.520
362,3.524
363,3.534
364,3.506
365,3.513
366,3.535
367,3.517
368,3.518
369,3.540
370,3.547
371,3.539
372,3.534
373,3.554
374,3.531
375,3.513
376,3.528
377,3.529
378,3.522
379,3.530
380,3.534
381,3.526
382,3.539
383,3.538
384,3.524
385,3.539
386,3.538
387,3.558
388,3.531
389,3.535
390,3.548
391,3.524
392,3.531
393,3.537
394,3.545
395,3.558
396,3.559
397,3.527
398,3.547
399,3.527
400,3.542
401,3.532
402,3.543
403,3.559
404,3.545
405,3.528
406,3.513
407,3.520
408,3.520
409,3.515
410,3.505
411,3.530
412,3.531
413,3.529
414,3.517
415,3.529
416,3.514
417,3.524
418,3.531
419,3.539
420,3.539
421,3.529
422,3.516
423,3.516
424,3.494
425,3.526
426,3.531
427,3.537
428,3.517
429,3.513
430,3.519
431,3.518
432,3.529
433,3.519
434,3.532
435,3.544
436,3.517
437,3.528
438,3.511
439,3.536
440,3.554
441,3.535
442,3.530
443,3.553
444,3.523
445,3.529
446,3.525
447,3.508
448,3.534
449,3.533
450,3.536
451,3.522
452,3.523
453,3.541
454,3.544
455,3.532
456,3.521
457,3.532
458,3.529
459,3.526
460,3.529
461,3.538
462,3.548
463,3.511
464,3.554
465,3.511
466,3.535
467,3.549
468,3.541
469,3.527
470,3.520
471,3.567
472,3.530
473,3.534
474,3.533
475,3.533
476,3.520
477,3.520
478,3.518
479,3.541
480,3.541
481,3.515
482,3.538
483,3.536
484,3.541
485,3.527
486,3.537
487,3.553
488,3.521
489,3.555
490,3.539
491,3.533
492,3.531
493,3.530
494,3.538
495,3.508
496,3.506
497,3.524
498,3.505
499,3.514
500,3.540
501,3.520
502,3.536
503,3.547
504,3.524
505,3.518
506,3.536
507,3.535
508,3.533
509,3.548
510,3.523
511,3.519
512,3.533
513,3.546
514,3.532
515,3.530
516,3.548
517,3.559
518,3.525
519,3.535
520,3.528
521,3.522
522,3.523
523,3.535
524,3.524
525,3.508
526,3.529
527,3.522
528,3.527
529,3.529
530,3.539
531,3.525
532,3.526
533,3.534
534,3.517
535,3.534
536,3.522
537,3.543
538,3.537
539,3.543
540,3.543
541,3.543
542,3.550
543,3.522
544,3.524
545,3.546
546,3.514
547,3.532
548,3.537
549,3.535
550,3.515
551,3.545
552,3.520
553,3.532
554,3.510
555,3.518
556,3.535
557,3.568
558,3.519
559,3.515
560,3.532
561,3.533
562,3.518
563,3.538
564,3.545
565,3.531
566,3.533
567,3.546
568,3.532
569,3.529
570,3.545
571,3.537
572,3.531
573,3.544
574,3.552
575,3.530
576,3.537
577,3.532
578,3.530
579,3.538
580,3.536
581,3.545
582,3.540
583,3.528
584,3.530
585,3.547
586,3.541
587,3.546
588,3.555
589,3.539
590,3.536
591,3.546
592,3.543
593,3.533
594,3.536
595,3.545
596,3.541
597,3.555
598,3.543
599,3.522
600,3.531
601,3.543
602,3.557
603,3.552
604,3.534
605,3.536
606,3.534
607,3.540
608,3.530
609,3.563
610,3.551
611,3.562
612,3.552
613,3.537
614,3.536
615,3.529
616,3.539
617,3.535
618,3.520
619,3.553
620,3.553
621,3.538
622,3.529
623,3.547
624,3.555
625,3.535
626,3.527
627,3.533
628,3.545
629,3.545
630,3.549
631,3.523
632,3.520
633,3.528
634,3.525
635,3.535
636,3.533
637,3.527
638,3.534
639,3.545
640,3.548
641,3.536
642,3.543
643,3.547
644,3.545
